user_id,beach_clicks,historical_clicks,cultural_clicks,religious_clicks,avg_view_time,language,preference
187,10,3,6,7,5.8,SO,Nature
188,1,10,6,4,7.79,EN,Historical
189,0,5,2,8,7.42,EN,Religious
190,4,3,3,1,13.92,EN,Nature
191,0,1,4,4,14.88,SO,Cultural
192,2,7,5,5,13.06,EN,Historical
193,3,4,2,5,18.55,EN,Religious
194,3,9,9,10,14.77,SO,Religious
195,10,4,5,2,16.25,EN,Nature
196,0,10,7,8,15.59,SO,Historical
197,3,3,1,0,9.31,EN,Nature
198,7,0,10,8,14.65,EN,Cultural
199,6,10,10,8,14.48,SO,Historical
200,6,2,5,1,8.0,SO,Nature
201,10,5,1,8,16.61,SO,Nature
202,6,9,10,2,19.95,SO,Cultural
203,7,5,10,0,10.78,EN,Cultural
204,5,5,6,2,9.23,SO,Cultural
205,10,6,9,6,13.15,SO,Nature
206,0,5,7,9,18.65,EN,Religious
207,6,8,0,8,7.86,SO,Historical
208,7,0,5,9,10.27,SO,Religious
209,8,3,4,0,10.8,EN,Nature
210,5,1,4,0,13.24,EN,Nature
211,2,8,5,2,6.17,SO,Historical
212,9,3,4,3,12.62,SO,Nature
213,3,10,0,4,16.09,EN,Historical
214,10,8,6,9,9.4,SO,Nature
215,1,3,0,8,19.04,EN,Religious
216,9,7,5,4,17.86,SO,Nature
217,8,0,2,8,19.84,EN,Nature
218,2,6,4,5,18.79,EN,Historical
219,5,5,3,1,16.88,SO,Nature
220,6,5,5,5,18.89,EN,Nature
221,1,6,8,2,6.55,EN,Cultural
222,4,3,5,10,13.2,SO,Religious
223,0,3,0,3,14.55,SO,Historical
224,5,6,3,2,18.89,SO,Historical
225,9,4,3,3,13.17,EN,Nature
226,4,7,5,3,11.89,SO,Historical
227,1,2,2,7,5.44,EN,Religious
228,2,10,7,10,9.61,SO,Historical
229,8,6,7,1,10.76,EN,Nature
230,1,8,5,8,10.81,SO,Historical
231,6,2,6,0,17.8,EN,Nature
232,10,4,4,5,6.31,SO,Nature
233,10,5,0,9,9.88,EN,Nature
234,1,4,3,7,13.22,EN,Religious
235,8,3,10,2,14.01,SO,Cultural
236,10,4,6,5,14.31,SO,Nature
237,5,4,0,4,17.56,SO,Nature
238,9,8,10,0,11.72,EN,Cultural
239,7,0,1,2,8.05,SO,Nature
240,3,5,10,2,9.65,EN,Cultural
241,2,1,10,5,9.59,EN,Cultural
242,2,1,4,5,19.1,SO,Religious
243,7,10,9,6,12.58,SO,Historical
244,1,9,9,0,10.07,EN,Historical
245,2,7,10,10,5.56,EN,Cultural
246,8,6,2,10,12.19,EN,Religious
247,7,9,7,9,9.0,EN,Historical
248,9,1,0,10,5.37,SO,Religious
249,8,8,1,1,11.28,EN,Nature
250,10,6,1,2,12.22,EN,Nature
251,5,5,1,0,13.46,SO,Nature
252,4,7,8,10,5.11,EN,Religious
253,10,8,10,9,16.73,EN,Nature
254,8,7,1,5,18.32,EN,Nature
255,0,5,3,0,5.97,EN,Historical
256,3,7,9,5,8.92,SO,Cultural
257,8,3,5,2,5.59,EN,Nature
258,4,5,1,4,8.28,SO,Historical
259,6,1,7,7,10.01,EN,Cultural
260,1,7,8,0,7.03,EN,Cultural
261,9,7,10,5,8.76,SO,Cultural
262,7,2,0,5,7.3,EN,Nature
263,5,8,9,3,12.76,SO,Cultural
264,1,7,2,10,15.02,EN,Religious
265,9,4,6,6,5.99,SO,Nature
266,6,8,8,0,11.31,SO,Historical
267,5,0,6,7,6.92,EN,Religious
268,8,3,0,10,11.64,SO,Religious
269,8,5,2,5,9.97,EN,Nature
270,9,10,10,9,10.81,SO,Historical
271,2,2,6,3,12.31,EN,Cultural
272,6,0,5,10,7.37,EN,Religious
273,5,6,4,2,19.32,EN,Historical
274,9,1,8,7,15.66,EN,Nature
275,1,2,3,6,16.52,SO,Religious
276,4,10,7,0,11.51,SO,Historical
277,2,2,7,3,7.88,SO,Cultural
278,0,10,3,0,16.84,SO,Historical
279,10,3,10,3,14.03,SO,Nature
280,2,10,1,8,9.86,SO,Historical
281,1,7,9,0,19.29,SO,Cultural
282,7,2,9,2,11.6,SO,Cultural
283,10,1,2,2,12.48,SO,Nature
284,9,2,2,10,14.38,EN,Religious
285,4,6,3,3,17.5,SO,Historical
286,0,6,5,6,14.48,EN,Historical
287,3,5,3,7,15.79,EN,Religious
288,10,5,4,9,16.38,SO,Nature
289,2,5,0,4,6.23,SO,Historical
290,5,0,5,9,15.6,SO,Religious
291,7,0,0,10,5.64,EN,Religious
292,4,2,3,1,6.33,EN,Nature
293,2,4,9,2,16.22,EN,Cultural
294,9,8,2,4,18.04,SO,Nature
295,6,8,3,9,5.48,EN,Religious
296,7,1,4,9,19.28,SO,Religious
297,1,9,6,6,7.69,EN,Historical
298,3,2,10,1,9.32,SO,Cultural
299,10,7,8,1,13.85,SO,Nature
300,0,10,0,2,14.22,SO,Historical
301,9,4,9,4,8.13,EN,Nature
302,3,5,5,1,11.94,EN,Historical
303,1,8,10,0,6.02,EN,Cultural
304,6,1,6,10,16.23,SO,Religious
305,5,2,8,0,12.21,EN,Cultural
306,4,1,5,4,10.86,EN,Cultural
307,0,1,8,4,15.73,EN,Cultural
308,2,1,7,2,12.68,EN,Cultural
309,2,3,5,7,12.18,EN,Religious
310,5,5,8,8,8.09,EN,Cultural
311,9,8,7,2,8.46,SO,Nature
312,8,9,7,2,19.68,SO,Historical
313,5,5,0,5,7.81,EN,Nature
314,1,6,7,8,11.03,EN,Religious
315,9,1,2,1,18.93,EN,Nature
316,3,2,4,7,13.96,SO,Religious
317,7,8,6,6,13.26,SO,Historical
318,4,4,9,7,18.58,EN,Cultural
319,1,0,7,4,16.2,EN,Cultural
320,4,9,5,8,8.82,EN,Historical
321,10,2,1,7,11.54,SO,Nature
322,8,7,10,4,6.26,EN,Cultural
323,8,1,3,8,17.9,SO,Nature
324,1,5,3,9,5.03,SO,Religious
325,2,9,0,2,11.85,EN,Historical
326,5,1,0,8,17.8,SO,Religious
327,2,10,5,7,17.46,EN,Historical
328,9,8,1,2,14.17,EN,Nature
329,9,1,3,3,15.12,EN,Nature
330,0,5,4,7,5.44,SO,Religious
331,1,7,5,2,16.99,EN,Historical
332,8,8,0,5,7.4,SO,Nature
333,1,1,1,2,18.05,SO,Religious
334,9,6,10,1,8.83,EN,Cultural
335,8,5,3,3,9.89,EN,Nature
336,2,2,3,7,17.64,SO,Religious
337,10,3,4,9,16.38,EN,Nature
338,7,0,6,2,16.98,SO,Nature
339,2,7,9,3,16.29,EN,Cultural
340,5,4,2,1,10.45,SO,Nature
341,6,10,3,9,12.08,SO,Historical
342,1,6,8,3,15.91,EN,Cultural
343,8,7,3,8,6.68,SO,Nature
344,8,1,0,8,7.15,EN,Nature
345,4,3,5,3,17.7,EN,Cultural
346,5,8,9,10,11.55,EN,Religious
347,10,6,4,7,5.09,SO,Nature
348,0,7,0,8,17.03,SO,Religious
349,10,9,2,3,19.69,EN,Nature
350,7,7,8,1,8.74,EN,Cultural
351,3,6,3,7,11.46,EN,Religious
352,4,0,9,3,12.8,SO,Cultural
353,1,0,0,6,19.07,SO,Religious
354,5,4,0,7,19.04,EN,Religious
355,3,8,8,8,7.18,EN,Historical
356,9,7,10,0,5.77,EN,Cultural
357,7,5,0,6,9.44,EN,Nature
358,2,10,10,5,5.03,EN,Historical
359,5,3,3,5,6.19,EN,Nature
360,3,3,7,7,18.82,EN,Cultural
361,0,0,9,3,18.47,EN,Cultural
362,9,4,8,9,9.61,EN,Nature
363,9,5,3,8,10.21,EN,Nature
364,5,1,4,2,19.96,EN,Nature
365,9,9,1,10,7.43,SO,Religious
366,10,10,5,0,7.06,SO,Nature
367,8,3,5,10,14.08,SO,Religious
368,10,4,10,8,16.38,EN,Nature
369,8,7,9,1,14.82,SO,Cultural
370,0,7,0,7,8.65,SO,Historical
371,6,2,8,5,17.43,SO,Cultural
372,7,4,5,5,15.78,EN,Nature
373,7,5,8,3,5.35,EN,Cultural
374,4,0,7,4,6.47,EN,Cultural
375,9,0,10,8,17.51,SO,Cultural
376,5,9,7,0,15.2,SO,Historical
377,5,3,1,1,7.41,SO,Nature
378,3,2,3,4,16.55,EN,Religious
379,9,5,9,5,19.84,SO,Nature
380,0,8,0,1,17.8,SO,Historical
381,7,4,1,6,7.62,EN,Nature
382,9,7,1,8,15.71,EN,Nature
383,10,7,6,5,18.12,EN,Nature
384,6,0,9,3,12.71,EN,Cultural
385,9,7,7,5,18.12,EN,Nature
386,8,2,2,1,6.66,SO,Nature
387,2,5,6,0,8.24,EN,Cultural
388,2,9,1,2,7.93,EN,Historical
389,2,4,2,5,18.75,SO,Religious
390,6,7,5,1,10.01,EN,Historical
391,5,0,6,3,12.11,SO,Cultural
392,1,8,3,7,13.05,SO,Historical
393,5,10,6,6,17.1,SO,Historical
394,3,7,4,6,6.64,SO,Historical
395,10,6,1,7,11.23,EN,Nature
396,6,10,1,8,15.15,SO,Historical
397,4,9,0,0,7.01,EN,Historical
398,10,6,2,9,8.76,EN,Nature
399,7,3,0,3,19.03,EN,Nature
400,7,10,4,4,17.23,EN,Historical
401,5,6,3,3,9.83,EN,Historical
402,10,5,1,1,16.11,SO,Nature
403,0,2,1,9,19.11,SO,Religious
404,1,10,1,9,5.68,SO,Historical
405,2,2,6,6,15.6,SO,Cultural
406,2,8,9,2,14.83,SO,Cultural
407,2,8,10,8,17.2,SO,Cultural
408,0,7,1,2,11.82,SO,Historical
409,3,7,6,8,15.39,EN,Religious
410,7,4,5,8,16.03,SO,Religious
411,8,4,3,2,16.81,EN,Nature
412,4,1,9,5,12.88,SO,Cultural
413,10,2,4,3,5.05,EN,Nature
414,5,4,3,10,13.28,EN,Religious
415,7,5,8,2,18.26,SO,Cultural
416,5,9,9,6,10.58,EN,Historical
417,8,6,9,2,11.71,SO,Cultural
418,3,10,5,6,7.56,EN,Historical
419,5,5,1,9,17.57,EN,Religious
420,10,3,6,5,16.96,EN,Nature
421,4,5,0,4,9.59,EN,Historical
422,3,5,3,10,16.44,EN,Religious
423,2,5,10,2,10.06,EN,Cultural
424,1,10,9,1,8.57,SO,Historical
425,10,0,4,6,5.03,EN,Nature
426,5,0,1,0,17.24,EN,Nature
427,3,7,2,10,10.13,EN,Religious
428,4,4,4,9,14.95,SO,Religious
429,5,9,3,0,17.49,SO,Historical
430,9,10,0,9,17.25,SO,Historical
431,9,9,4,7,7.24,EN,Nature
432,2,3,5,7,9.78,SO,Religious
433,3,8,2,8,13.31,SO,Historical
434,8,6,5,5,16.99,EN,Nature
435,3,1,0,10,15.86,SO,Religious
436,0,9,2,7,8.48,EN,Historical
437,10,0,7,8,16.94,EN,Nature
438,0,8,4,0,15.42,SO,Historical
439,8,2,8,6,10.76,SO,Nature
440,2,6,7,10,14.13,EN,Religious
441,1,6,5,2,9.26,EN,Historical
442,0,0,6,1,15.17,EN,Cultural
443,10,8,4,10,15.85,SO,Nature
444,9,10,2,0,9.34,EN,Historical
445,9,7,7,5,9.14,EN,Nature
446,2,4,9,4,17.32,EN,Cultural
447,2,10,9,1,11.18,SO,Historical
448,0,0,5,2,5.13,EN,Cultural
449,7,2,8,8,19.09,SO,Cultural
450,10,5,5,4,11.36,SO,Nature
451,4,6,2,8,6.37,EN,Religious
452,6,3,2,9,8.38,SO,Religious
453,4,5,8,5,14.46,EN,Cultural
454,10,9,0,10,9.87,EN,Nature
455,5,6,10,3,11.06,SO,Cultural
456,4,10,1,1,11.63,EN,Historical
457,1,1,0,4,14.15,EN,Religious
458,7,6,9,2,7.99,EN,Cultural
459,10,4,0,9,17.28,EN,Nature
460,8,0,4,4,18.57,SO,Nature
461,0,6,5,7,11.13,SO,Religious
462,8,2,0,5,11.3,EN,Nature
463,6,7,6,8,19.08,EN,Religious
464,0,1,7,2,16.03,SO,Cultural
465,0,1,5,9,18.75,SO,Religious
466,6,4,3,9,10.39,SO,Religious
467,5,9,8,2,15.13,SO,Historical
468,6,4,8,4,7.02,EN,Cultural
469,1,10,4,10,11.47,EN,Historical
470,9,0,5,7,8.01,SO,Nature
471,7,8,5,2,7.84,EN,Historical
472,0,4,10,10,12.19,EN,Cultural
473,2,5,7,6,6.88,SO,Cultural
474,7,2,7,4,18.74,SO,Nature
475,9,5,8,4,7.93,EN,Nature
476,8,6,10,3,9.44,EN,Cultural
477,4,9,5,0,5.48,EN,Historical
478,4,9,7,0,9.51,SO,Historical
479,3,6,1,8,11.98,EN,Religious
480,7,5,4,10,5.45,SO,Religious
481,8,0,3,2,11.4,EN,Nature
482,2,8,6,8,5.34,EN,Historical
483,5,2,8,4,15.34,SO,Cultural
484,8,6,6,4,17.02,EN,Nature
485,4,9,3,0,11.21,SO,Historical
486,1,4,2,4,13.41,EN,Historical
487,2,5,2,7,10.5,SO,Religious
488,4,0,5,8,16.43,EN,Religious
489,9,9,7,1,5.6,SO,Nature
490,5,2,7,9,16.74,SO,Religious
491,6,0,8,10,13.61,SO,Religious
492,9,5,7,2,8.12,SO,Nature
493,1,3,6,1,16.4,EN,Cultural
494,7,10,5,2,6.33,SO,Historical
495,7,0,10,3,6.22,EN,Cultural
496,3,0,3,4,7.71,SO,Religious
497,3,1,4,4,18.93,SO,Cultural
498,6,4,2,9,11.56,EN,Religious
499,9,3,4,3,10.33,EN,Nature
500,6,4,8,4,14.41,SO,Cultural
501,9,7,10,0,8.35,SO,Cultural
502,3,5,9,6,7.07,EN,Cultural
503,4,0,3,10,9.53,SO,Religious
504,6,9,6,8,16.12,SO,Historical
505,7,8,5,1,11.49,SO,Historical
506,6,6,6,9,19.32,EN,Religious
507,7,10,2,1,10.56,EN,Historical
508,7,2,8,7,10.23,EN,Cultural
509,10,6,10,1,5.01,SO,Nature
510,10,10,6,9,9.86,EN,Nature
511,6,3,6,6,10.85,SO,Nature
512,6,4,3,0,7.65,EN,Nature
513,6,0,7,5,18.26,SO,Cultural
514,5,3,5,10,15.1,EN,Religious
515,4,3,8,4,11.8,EN,Cultural
516,10,5,0,7,14.66,EN,Nature
517,6,7,5,7,11.09,SO,Historical
518,3,5,10,0,9.45,EN,Cultural
519,10,4,9,2,14.01,EN,Nature
520,7,10,4,3,13.74,EN,Historical
521,2,7,7,5,15.01,EN,Historical
522,8,8,0,5,12.4,EN,Nature
523,4,0,3,5,17.16,EN,Religious
524,0,2,8,9,14.94,EN,Religious
525,7,2,3,7,8.02,EN,Nature
526,3,6,6,1,6.53,SO,Historical
527,5,5,10,2,16.87,EN,Cultural
528,7,1,3,9,12.74,EN,Religious
529,8,7,8,5,12.14,EN,Nature
530,4,10,8,3,16.01,SO,Historical
531,2,1,4,9,10.53,SO,Religious
532,10,8,10,3,12.81,SO,Nature
533,9,6,3,9,19.28,EN,Nature
534,9,8,4,9,9.47,SO,Nature
535,9,1,8,7,10.79,EN,Nature
536,1,4,7,7,16.59,EN,Cultural
537,1,10,9,10,15.22,EN,Historical
538,3,9,6,2,8.09,EN,Historical
539,3,8,9,10,15.14,SO,Religious
540,0,0,1,8,18.6,SO,Religious
541,3,5,7,5,16.54,EN,Cultural
542,5,5,9,10,17.69,EN,Religious
543,1,2,10,2,5.51,SO,Cultural
544,10,9,10,7,13.27,SO,Nature
545,5,6,4,6,11.48,SO,Historical
546,0,4,8,3,14.61,SO,Cultural
547,4,6,9,7,18.99,EN,Cultural
548,4,3,5,10,8.45,EN,Religious
549,4,2,1,2,5.7,EN,Nature
550,4,5,5,3,19.94,SO,Historical
551,3,1,2,10,13.31,SO,Religious
552,5,7,5,8,17.3,SO,Religious
553,4,5,4,2,12.4,EN,Historical
554,4,7,6,3,15.79,SO,Historical
555,0,4,0,3,16.11,SO,Historical
556,8,9,5,4,16.28,SO,Historical
557,10,7,1,8,19.4,EN,Nature
558,4,2,9,7,12.6,SO,Cultural
559,3,3,6,4,15.86,EN,Cultural
560,4,2,3,2,18.05,EN,Nature
561,0,9,0,10,6.03,SO,Religious
562,8,4,9,7,8.29,EN,Cultural
563,4,5,6,4,6.43,EN,Cultural
564,4,0,8,9,10.82,EN,Religious
565,4,2,7,5,8.29,EN,Cultural
566,3,1,4,10,19.88,EN,Religious
567,7,9,9,9,17.9,EN,Historical
568,3,6,10,2,8.18,SO,Cultural
569,4,5,3,8,18.25,SO,Religious
570,3,10,2,7,8.26,EN,Historical
571,7,4,3,7,12.31,SO,Nature
572,3,6,2,8,6.18,SO,Religious
573,3,5,0,2,15.21,EN,Historical
574,6,6,2,0,16.25,EN,Nature
575,3,7,5,10,10.31,SO,Religious
576,9,10,4,2,5.23,EN,Historical
577,7,1,8,0,7.93,EN,Cultural
578,7,4,5,0,14.36,EN,Nature
579,9,4,2,3,13.18,SO,Nature
580,10,1,0,10,8.7,SO,Nature
581,2,3,4,1,16.19,SO,Cultural
582,10,3,5,8,17.84,EN,Nature
583,3,4,5,10,16.63,EN,Religious
584,6,0,6,5,14.61,SO,Nature
585,6,6,6,10,13.82,EN,Religious
586,1,1,8,1,17.78,SO,Cultural
587,6,2,2,6,19.76,SO,Nature
588,1,10,7,6,17.45,SO,Historical
589,6,4,9,6,19.07,EN,Cultural
590,10,9,10,10,10.33,EN,Nature
591,4,3,3,10,12.02,SO,Religious
592,9,6,2,8,8.28,SO,Nature
593,9,5,1,1,14.62,SO,Nature
594,9,1,4,1,8.06,SO,Nature
595,8,2,7,5,17.96,SO,Nature
596,5,10,8,6,13.19,EN,Historical
597,6,7,6,9,10.69,EN,Religious
598,9,5,3,9,8.02,EN,Nature
599,2,10,10,9,10.66,EN,Historical
600,1,5,0,9,11.94,EN,Religious
601,2,9,4,8,12.22,SO,Historical
602,3,5,8,6,13.41,SO,Cultural
603,5,1,2,5,6.94,SO,Nature
604,4,9,8,6,5.39,EN,Historical
605,10,0,0,0,14.43,EN,Nature
606,3,1,8,3,15.52,SO,Cultural
607,4,0,7,1,9.94,SO,Cultural
608,2,0,2,2,11.31,EN,Nature
609,4,8,3,10,10.61,SO,Religious
610,3,5,0,6,6.34,EN,Religious
611,2,10,3,10,6.94,SO,Historical
612,3,4,8,1,8.28,SO,Cultural
613,0,4,9,1,15.21,EN,Cultural
614,6,10,5,3,8.67,SO,Historical
615,4,0,9,2,15.83,SO,Cultural
616,4,10,8,9,16.54,EN,Historical
617,10,7,0,7,12.99,SO,Nature
618,1,10,7,0,17.1,SO,Historical
619,9,0,8,1,17.97,SO,Nature
620,9,7,3,6,7.04,EN,Nature
621,10,0,1,8,17.68,EN,Nature
622,1,9,8,4,7.83,SO,Historical
623,8,8,1,7,14.09,EN,Nature
624,7,4,7,10,19.28,EN,Religious
625,1,9,9,9,7.41,SO,Historical
626,4,10,6,6,5.34,EN,Historical
627,3,4,6,2,16.87,SO,Cultural
628,0,2,9,2,12.83,EN,Cultural
629,2,0,1,1,18.4,SO,Nature
630,10,6,10,0,9.74,SO,Nature
631,4,5,9,2,6.41,SO,Cultural
632,7,4,8,9,9.06,EN,Religious
633,5,3,8,5,17.91,EN,Cultural
634,3,3,10,4,11.13,EN,Cultural
635,2,9,0,2,16.51,EN,Historical
636,9,8,7,10,19.24,SO,Religious
637,7,7,5,3,11.31,SO,Nature
638,9,0,2,0,8.79,EN,Nature
639,10,2,4,0,15.72,EN,Nature
640,8,2,0,2,15.29,SO,Nature
641,1,10,8,7,7.91,EN,Historical
642,1,10,10,0,14.84,SO,Historical
643,6,1,3,0,18.54,SO,Nature
644,6,0,8,1,14.88,SO,Cultural
645,3,10,6,0,5.01,SO,Historical
646,1,4,8,8,13.21,SO,Cultural
647,0,6,6,4,16.88,EN,Historical
648,9,0,10,4,17.34,SO,Cultural
649,1,6,6,9,13.99,SO,Religious
650,4,0,4,2,5.29,EN,Nature
651,0,8,7,10,14.2,SO,Religious
652,3,4,5,8,9.62,SO,Religious
653,3,2,2,4,9.83,SO,Religious
